,ST_construction_time,LCA_Preprocess,queries,size,exec_time
-1,45,79,10,10,17
0,41,88,10,10,16
1,41,98,10,10,19
2,44,98,10,10,26
3,43,90,10,10,27
4,41,86,10,10,25
5,46,97,10,10,19
6,211,750,100,100,251
7,224,1098,100,100,380
8,216,804,100,100,337
9,227,840,100,100,261
10,235,749,100,100,345
11,216,742,100,100,278
12,211,734,100,100,257
13,1873,7551,1000,1000,2929
14,2004,12612,1000,1000,3167
15,2018,8113,1000,1000,3001
16,2051,10221,1000,1000,3700
17,2575,10286,1000,1000,4231
18,1986,8213,1000,1000,2890
19,2066,9161,1000,1000,2932
20,26374,112780,10000,10000,71959
21,22410,105360,10000,10000,52868
22,23952,100606,10000,10000,43821
23,21638,100525,10000,10000,43852
24,22669,108182,10000,10000,51589
25,22071,86855,10000,10000,37298
26,26999,115287,10000,10000,45684
27,23189,91943,10000,10000,40574
28,23813,111205,10000,10000,51476
29,27489,92533,10000,10000,43781
30,21911,88599,10000,10000,42488
31,22224,83649,10000,10000,40177
32,22194,90780,10000,10000,37711
33,25046,141958,10000,10000,76717
34,21829,97314,10000,10000,52414
35,21497,85419,10000,10000,42306
36,24884,106281,10000,10000,53290
37,24139,142023,10000,10000,85805
38,24404,113688,10000,10000,69473
39,24321,96075,10000,10000,54826
40,24341,96658,10000,10000,56505
41,24198,106892,10000,10000,59013
42,22929,89149,10000,10000,42533
43,25509,142329,10000,10000,87340
44,23921,109612,10000,10000,60419
45,26756,113589,10000,10000,64835
46,24825,140183,10000,10000,71328
47,27765,102616,10000,10000,52801
48,25406,114106,10000,10000,63291
49,29219,121136,10000,10000,67997
50,26836,126380,10000,10000,121454
51,27968,148418,10000,10000,83027
52,23353,98064,10000,10000,47681
53,23981,101238,10000,10000,50854
54,39161,207489,10000,10000,97610
55,23662,113741,10000,10000,60174
56,25315,108335,10000,10000,52583
57,22693,89349,10000,10000,45008
58,22916,98598,10000,10000,48752
59,24402,87254,10000,10000,45513
60,23638,84429,10000,10000,53789
61,35119,101366,10000,10000,55032
62,25350,134730,10000,10000,72671
63,21148,89333,10000,10000,43716
64,23902,110682,10000,10000,64410
65,24331,110804,10000,10000,55435
66,22883,88866,10000,10000,44792
67,26393,143460,10000,10000,77876
68,24747,104458,10000,10000,57929
69,24371,90547,10000,10000,59448
70,23560,144251,10000,10000,78517
71,24258,103805,10000,10000,59698
72,46056,152129,10000,10000,69975
73,25716,107795,10000,10000,57273
74,22976,102990,10000,10000,49068
75,24215,107505,10000,10000,59061
76,25138,101091,10000,10000,54060
77,24442,104191,10000,10000,54268
78,25295,147194,10000,10000,82566
79,24283,106996,10000,10000,60724
80,25068,105320,10000,10000,57719
81,24437,106963,10000,10000,60530
82,22361,103670,10000,10000,48168
83,24868,107695,10000,10000,52079
84,29434,102132,10000,10000,49137
85,39130,130057,10000,10000,45947
86,22388,105606,10000,10000,39648
87,22170,99847,10000,10000,41806
88,31281,118803,10000,10000,71667
89,21859,91925,10000,10000,51766
