,ST_construction_time,LCA_Preprocess,alphabet_size,queries,size,exec_time
-1,40,75,26,10,10,16
0,42,90,5,10,10,16
1,106,248,4,10,10,59
2,44,98,2,10,10,26
3,42,91,17,10,10,25
4,75,92,10,10,10,26
5,41,92,11,10,10,22
6,234,797,26,100,100,262
7,223,1056,2,100,100,300
8,233,824,5,100,100,327
9,232,830,4,100,100,251
10,208,730,17,100,100,255
11,211,733,11,100,100,260
12,213,728,10,100,100,283
13,1940,7496,26,1000,1000,3286
14,2131,11953,2,1000,1000,3216
15,2384,12119,17,1000,1000,5893
16,2001,9600,4,1000,1000,3494
17,1999,9707,5,1000,1000,3663
18,1977,8121,11,1000,1000,2994
19,1975,8167,10,1000,1000,2780
20,25196,90411,17,10000,10000,37113
21,22081,95524,11,10000,10000,42984
22,21921,96544,10,10000,10000,46082
23,23156,82335,26,10000,10000,41079
24,23332,133093,2,10000,10000,66217
25,22869,110145,4,10000,10000,53271
26,22425,99725,5,10000,10000,49059
27,276882,1608169,2,100000,100000,703008
28,291112,1273327,4,100000,100000,625024
29,282465,1199866,5,100000,100000,688716
30,284600,1094247,10,100000,100000,668580
31,268660,1085843,11,100000,100000,683499
32,286716,1066666,17,100000,100000,615830
33,266919,1060055,26,100000,100000,598245
34,3559284,13792249,5,500000,1000000,3903379
35,3608459,14275609,4,500000,1000000,3882858
36,3304378,18195050,2,500000,1000000,4663495
37,3462794,11868644,26,500000,1000000,4112502
38,3502103,13154886,17,500000,1000000,4800985
39,3561983,12956044,10,500000,1000000,5664885
40,3586964,12323301,11,500000,1000000,4759922
41,40053281,138452494,26,1000000,10000000,18055235
42,44520246,147023371,17,1000000,10000000,18093949
43,34645865,201230223,2,1000000,10000000,40348408
44,39736079,146906018,10,1000000,10000000,17851397
45,43423816,157751082,11,1000000,10000000,20026268
46,40968760,167776393,5,1000000,10000000,18797555
47,39445472,171881572,4,1000000,10000000,21816125
