,alphabet_size,queries,size,exec_time
-1,26,10,10,0
0,5,10,10,31
1,4,10,10,0
2,2,10,10,0
3,17,10,10,0
4,10,10,10,0
5,11,10,10,0
6,26,100,100,7
7,2,100,100,9
8,5,100,100,2
9,4,100,100,0
10,17,100,100,1
11,11,100,100,0
12,10,100,100,0
13,26,1000,1000,2
14,2,1000,1000,9
15,17,1000,1000,1
16,4,1000,1000,27
17,5,1000,1000,30
18,11,1000,1000,39
19,10,1000,1000,12
20,17,10000,10000,177
21,11,10000,10000,276
22,10,10000,10000,343
23,26,10000,10000,323
24,2,10000,10000,286
25,4,10000,10000,281
26,5,10000,10000,372
27,2,100000,100000,5247
28,4,100000,100000,15055
29,5,100000,100000,16671
30,10,100000,100000,14218
31,11,100000,100000,13609
32,17,100000,100000,17245
33,26,100000,100000,16963
34,5,500000,1000000,97850
35,4,500000,1000000,121809
36,2,500000,1000000,114698
37,26,500000,1000000,90795
38,17,500000,1000000,102723
39,10,500000,1000000,91428
40,11,500000,1000000,100531
41,26,1000000,10000000,128782
42,17,1000000,10000000,129386
43,2,1000000,10000000,91801
44,10,1000000,10000000,137095
45,11,1000000,10000000,126720
46,5,1000000,10000000,124391
47,4,1000000,10000000,102701
