,alphabet_size,size,memory_dump
-1,26,10,195640
0,5,10,195639
1,4,10,195639
2,2,10,195639
3,17,10,195640
4,10,10,195640
5,11,10,195640
6,26,100,195743
7,2,100,195742
8,5,100,195742
9,4,100,195742
10,17,100,195743
11,11,100,195743
12,10,100,195743
13,26,1000,196645
14,2,1000,196644
15,17,1000,196645
16,4,1000,196644
17,5,1000,196644
18,11,1000,196645
19,10,1000,196645
20,17,10000,220221
21,11,10000,220221
22,10,10000,220221
23,26,10000,220221
24,2,10000,220220
25,4,10000,220220
26,5,10000,220220
27,2,100000,449573
28,4,100000,449573
29,5,100000,449573
30,10,100000,449574
31,11,100000,449574
32,17,100000,449574
33,26,100000,449574
34,5,1000000,284362
35,4,1000000,284362
36,2,1000000,284362
37,26,1000000,284363
38,17,1000000,284363
39,10,1000000,284363
40,11,1000000,284363
41,4,10000000,737808
